place,post_label,person_name,party,image_url
Isfahan_province_15,,Mehdi Toghyani,Principlist,
Isfahan_province_16,,Rasool Bakhshi,Principlist,
Isfahan_province_17,,Hamed Yazdian,Principlist,
Isfahan_province_18,,Ahmad Bakshayesh Ardestani,Independent,
Isfahan_province_19,,Hossein-Ali Haji-Deligani,Principlist,
Jewish,,Homayoun Sameh,Independent,
Kerman_province_1,,Shahbaz Hasanpour,Independent,
Kerman_province_2,,Majid Dostali,Principlist,
Kerman_province_3,,Yasser Soleimani,Independent,
Kerman_province_4,,Mousa Ghazanfarabadi,Principlist,
Kerman_province_5,,Behnam Saidi,Principlist,
Kerman_province_6,,Ahmad Anaraki Mohammadi,Reformists,
Kerman_province_7,,Abdul Hossein Hemmati,Independent,
Kerman_province_8,,Mohammad Motamedizadeh,Principlist,
Kerman_province_9,,Gholamreza Navidi,Principlist,
Kerman_province_10,,Mansour Shokrollahi,Principlist,
Kermanshah_province_1,,Abdolreza Mesri,Principlist,
Kermanshah_province_2,,Mohammad Rashidi,Principlist,
Kermanshah_province_3,,Fazlullah Ranjbar,,
Kermanshah_province_4,,Mojtaba Bakhshipour,Principlist,
Kermanshah_province_5,,Rastgar Yousefi,Principlist,
Kermanshah_province_6,,Seyyed Javad Hosseinikia,Principlist,
Kermanshah_province_7,,Fathullah Hosseini,Reformists,
Kermanshah_province_8,,Vahid Ahmadi,Principlist,
Khuzestan_province_1,,Seyed Mohsen Mousavizadeh,Principlist,
Khuzestan_province_2,,Mojtaba Yousefi,Principlist,
Khuzestan_province_3,,Mohammad Amir,Principlist,
Khuzestan_province_4,,Javad Saadounzadeh,Reformists,
Khuzestan_province_5,,Seyyed Mohammad Molavi,Principlist,
Khuzestan_province_6,,Jalil Mokhtar,Principlist,
Khuzestan_province_7,,Jahanbakhsh Qalavand,Independent,
Khuzestan_province_8,,Farshad Ebrahimpour Noorabadi,Principlist,
Khuzestan_province_9,,Amir Hayat Moghadam,Principlist,
Khuzestan_province_10,,Mohammad Tala Mazloumi,Principlist,
Khuzestan_province_11,,Mustafa Maturzadeh,Principlist,
Khuzestan_province_12,,Seyyed Ahmad Avayi,Principlist,
Khuzestan_province_13,,Majid Dagheri,Principlist,
Khuzestan_province_14,,Amir Hossein Nazari,,
Khuzestan_province_15,,Hashem Khanfari Pourjafari,Principlist,
Khuzestan_province_16,,Mohammad Kaab Omair,Principlist,
Khuzestan_province_17,,Seyyed Mohammad Sadat Ebrahimi,Reformists,
Khuzestan_province_18,,Ali Askar Zahiri Abdo Vand,Principlist,
Kohgiluyeh_and_Boyer-Ahmad_province_1,,Mohammad Bahrami,Reformists,
Kohgiluyeh_and_Boyer-Ahmad_province_2,,Seyyed Haji Mohammad Movahed,Principlist,
Kohgiluyeh_and_Boyer-Ahmad_province_3,,Gholamreza Tajgardoon,Reformists,
Kurdistan_province_1,,Salar Moradi,Principlist,
Kurdistan_province_2,,Mohsen Fathi,Reformists,
Kurdistan_province_3,,Alireza Zandian,Principlist,
Kurdistan_province_4,,Mohsen Bigleri,Independent,
Kurdistan_province_5,,Mohammad Rasool Sheikhi,Principlist,
Kurdistan_province_6,,Omid Karimian,Reformists,
Lorestan_province_1,,Hadi Hashemi nia,Principlist,
Lorestan_province_2,,Reza Sepahvand,Reformists,
Lorestan_province_3,,Hamidreza Godarzi,Reformists,
Lorestan_province_4,,Abbas Godarzi Boroujerdi,Principlist,
Lorestan_province_5,,Fatemeh Maghsoudi,Reformists,
Lorestan_province_6,,Seyyed Hamid Reza Kazemi,Principlist,
Lorestan_province_7,,Mohammad Hossein Mohammadi,Principlist,
Lorestan_province_8,,Ruhollah Lak Aliabadi,Principlist,
Lorestan_province_9,,Ali Emami Rad,Principlist,
Markazi_province_1,,Seyyed Mohammad Jamalian,Independent,
Markazi_province_2,,Nadergholi Ebrahimi,Principlist,
Markazi_province_3,,Valiullah Bayati,Independent,
Markazi_province_4,,Mohammad Bayat,Independent,
Markazi_province_5,,Mohammad Sabzi,Principlist,
Markazi_province_6,,Hoshang Hadianpour,Principlist,
Markazi_province_7,,Mohammad Jalali,Principlist,
Mazandaran_province_1,,Allea Zamani Kiasari,Independent,
Mazandaran_province_2,,Ali Babaei Karnami,Principlist,
Mazandaran_province_3,,Hasan Netaj,Principlist,
Mazandaran_province_4,,Ahmad Fatemi,Independent,
Mazandaran_province_5,,Emran Abbasi Kali,Independent,
Mazandaran_province_6,,Ali Keshvari,Independent,
Mazandaran_province_7,,Reza Hajipour,Principlist,
Mazandaran_province_8,,Gholamreza Shariati,Principlist,
Mazandaran_province_9,,Shamsuddin Hosseini,Principlist,
Mazandaran_province_10,,Kamran Poladi,Reformists,
Mazandaran_province_11,,Abdul Wahid Fayazi,Principlist,
Mazandaran_province_12,,Ali Asghar Bagherzadeh,Principlist,
North_Khorasan_province_1,,Seyyed Mohammad Pakmehr,Principlist,
North_Khorasan_province_2,,Mohammad Mehdi Shahriari,Reformists,
North_Khorasan_province_3,,Hadi Ghavami,Reformists,
North_Khorasan_province_4,,Abbas Godrati,Independent,
Qazvin_province_1,,Fatemeh Mohammad Beigi,Principlist,
Qazvin_province_2,,Sallar Velayatmadar,Principlist,
Qazvin_province_3,,Ruhollah Abbaspour,Principlist,
Qazvin_province_4,,Abbas Bigdeli,Principlist,
Qom_province_1,,Mohammad Manan Raisi,Principlist,
Qom_province_2,,Mojtaba Zonnour,Principlist,
Qom_province_3,,Ghasem Ravanbakhsh,Principlist,
Razavi_Khorasan_province_1,,Nasrollah Pejmanfar,Principlist,
Razavi_Khorasan_province_2,,Hassan Ali Akhlaghi Amiri,Principlist,
Razavi_Khorasan_province_3,,Maytham Zuhorian,Principlist,
Razavi_Khorasan_province_4,,Javad Karimi-Ghodousi,Principlist,
Razavi_Khorasan_province_5,,Ali Asghar Nakhaee Rad,Principlist,
Razavi_Khorasan_province_6,,Jalil Rahimi,Reformists,
Razavi_Khorasan_province_7,,Othman Sallari,Independent,
Razavi_Khorasan_province_8,,Hussein Emamirad,Principlist,
Razavi_Khorasan_province_9,,Amir Tavakoli Rudi,Independent,
Razavi_Khorasan_province_10,,Hossein Mohammadzadeh,Principlist,
Razavi_Khorasan_province_11,,Mohammad Reza Mohseni Thani,Principlist,
Razavi_Khorasan_province_12,,Behrouz Mohebi Najm Abadi,Principlist,
Razavi_Khorasan_province_13,,Ehsan Ghazizadeh Hashemi,Principlist,
Razavi_Khorasan_province_14,,Ali Azari,Principlist,
Razavi_Khorasan_province_15,,Javad Nikbin,Principlist,
Razavi_Khorasan_province_16,,Hadi Mohammadpour,Principlist,
Razavi_Khorasan_province_17,,Seyyed Yahya Soleimani,Principlist,
Razavi_Khorasan_province_18,,Mohammad Rostami,Principlist,
Semnan_province_1,,Abbas Golro,Principlist,
Semnan_province_2,,Ali Akbar Alizadeh Barmi,Principlist,
Semnan_province_3,,Ahmed Ajam,Principlist,
Semnan_province_4,,Yasser Arabi,,
Sistan_and_Baluchestan_province_1,,Hossein Ali Shahriari|Hossein Ali Shahrari,Principlist,
Sistan_and_Baluchestan_province_2,,Fada Hossein Maleki,Principlist,
Sistan_and_Baluchestan_province_3,,Rahmdel Bagheri,Principlist,
Sistan_and_Baluchestan_province_4,,Mohammad Anwar Bejarzehi,Principlist,
Sistan_and_Baluchestan_province_5,,Ali Kurd,Independent,
Sistan_and_Baluchestan_province_6,,Mohammad Sargazi,Principlist,
Sistan_and_Baluchestan_province_7,,Farhad Shahraki,Principlist,
Sistan_and_Baluchestan_province_8,,Mohammad Noor Dahani,Independent,
South_Khorasan_province_1,,Seyyed Hasan Hashemi,Reformists,
South_Khorasan_province_2,,Mostafa Nakhaei,Principlist,
South_Khorasan_province_3,,Salman Eshaghi,Principlist,
South_Khorasan_province_4,,Majid Nasiraei,Principlist,
Tehran_province_1,,Mohammad Bagher Ghalibaf,Principlist,
Tehran_province_2,,Amir Hossein Sabeti,Principlist,
Tehran_province_3,,Morteza Aghatehrani,Principlist,
Tehran_province_4,,Hamid Rasai,Principlist,
Tehran_province_5,,Reza Taghipour Anvari,Principlist,
Tehran_province_6,,Mahmoud Nabavian,Principlist,
Tehran_province_7,,Manouchehr Mutaki,Principlist,
Tehran_province_8,,Ismail Kothari,Principlist,
Tehran_province_9,,Mehdi Kochakzadeh,Principlist,
Tehran_province_10,,Bijan Nobaveh-Vatan,Principlist,
Tehran_province_11,,Mojtaba Zarei,Principlist,
Tehran_province_12,,Kamran Ghazanfari,Principlist,
Tehran_province_13,,Mohammad Siraj,Principlist,
Tehran_province_14,,Ruhollah Izadkhah,Principlist,
Tehran_province_15,,Ahmad Naderi,Principlist,
Tehran_province_16,,Abolfazl Zohrevand,Principlist,
Tehran_province_17,,Hossein Samsami,Principlist,
Tehran_province_18,,Ibrahim Azizi,Principlist,
Tehran_province_19,,Malek Shariati Niasar,Principlist,
Tehran_province_20,,Alireza Salimi,Principlist,
Tehran_province_21,,Zainab gheyseri,Principlist,
Tehran_province_22,,Somayeh Rafiei,Principlist,
Tehran_province_23,,Seyyed Ali Yazdikhah,Principlist,
Tehran_province_24,,Ali Khezrian,Principlist,
Tehran_province_25,,Peyman falsafi,Principlist,
Tehran_province_26,,Abolghasem Jarare,Principlist,
Tehran_province_27,,Seyyed Morteza Mahmoudi,Principlist,
Tehran_province_28,,Zohreh Lajevardi,Principlist,
Tehran_province_29,,Mojtaba Rahmandost,Principlist,
Tehran_province_30,,Abdul Hossein Rooh Al Amini,Principlist,
Tehran_province_31,,Farhad Bashiri,Principlist,
Tehran_province_32,,Shahrukh Ramin,Reformists,
Tehran_province_33,,Hassan Qashqai,Principlist,
Tehran_province_34,,Hossein Haghverdi,Principlist,
Tehran_province_35,,Mehdi Zamani Afshar,Reformists,
West_Azerbaijan_province_1,,Seyyed Salman Zaker,Principlists,
West_Azerbaijan_province_2,,Hakem mamakan,Independent,
West_Azerbaijan_province_3,,Shahin Jahangiri,Independent,
West_Azerbaijan_province_4,,Mohammad Qassim Osmani,Reformists,
West_Azerbaijan_province_5,,Kamal Hosseinpour,Reformists,
West_Azerbaijan_province_6,,Adel Najafzadeh,Independent,
West_Azerbaijan_province_7,,Yaghoub Rezazadeh,Principlists,
West_Azerbaijan_province_8,,Omar pour Aghdam,Reformists,
West_Azerbaijan_province_9,,Sallam sotudeh,Independent,
West_Azerbaijan_province_10,,Ali Ahmadi,Principlist,
West_Azerbaijan_province_11,,Mohammad Mirzaei,Independent,
West_Azerbaijan_province_12,,Abdul Karim Hosseinzadeh,Independent,
Yazd_province_1,,Mohammad saleh Jokar,Principlist,
Yazd_province_2,,Mustafa Pourdehghan,Independent,
Yazd_province_3,,Mohammad Reza Sabaghian,Principlist,
Yazd_province_4,,Seyyed Jalil Mirmohammadi Meybodi,Principlist,
Zanjan_province_1,,Mostafa Taheri,Principlist,
Zanjan_province_2,,Nabiullah Mohammadi,,
Zanjan_province_3,,Mansour Alimardani,Reformists,
Zanjan_province_4,,Seyyed Jamal Mousavi,Principlist,
Zanjan_province_5,,Ahmed Bigdeli,Reformists,
Zoroastrian_1,,Behshid Barkhordar,Independent,
